"name","Andorra","Australia","Austria","Belgium","Bulgaria","Canada","China","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","Germany","Gibraltar","Greece","Hong Kong","Hungary","Iceland","India","Ireland","Israel","Italy","Latvia","Liechtenstein","Lithuania","Luxembourg","Malta","Monaco","Netherlands","New Zealand","Norway","Poland","Portugal","Romania","San Marino","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Turkey","United Kingdom of Great Britain and Northern Ireland","United States of America"
"Afghanistan",,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,
"Albania",,,1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,9,2
"Algeria",,,,,,1,,,,,1,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,3,5
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
"Andorra",,1,,,1,,,,,,,2,,,,1,,,,,,2,1,,2,2,,1,,,,1,,,1,2,1,,,,,,3,,,,24,4
"Angola",,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,15,2,,,,,,,1,1,,5,1
"Anguilla",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Argentina",,2,1,1,1,,,,,,,1,,6,,1,,,,,,4,,,3,,,,,,,1,,,3,,,,,,1,,21,,2,,15,25
"Armenia",,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1
"Aruba",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Australia",,3261,10,11,10,6,,1,2,4,7,127,8,39,,50,,5,3,11,1,80,24,,31,7,,,,2,,15,19,10,30,4,10,,7,1,,1,66,9,16,2,272,110
"Austria",,52,329,5,3,11,1,1,1,26,4,5,,,10,26,1,1,8,157,,319,,,1,,,1,,,,2,11,10,45,4,5,,11,2,,2,10,8,34,13,735,434
"Azerbaijan",,1,1,,,,,,,1,,,,,1,3,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,2,6,2
"Bahamas",,2,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,2,,1,,2,1
"Bahrain",,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,5,2
"Bangladesh",,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,1,,,,1,,,,1,,,,3,4
"Barbados",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belarus",,,,,,,,,,,,1,,,,2,,,,,,,,,1,1,,,,,,1,,,4,,,,,,,,,,,,,
"Belgium",,115,3,505,13,35,2,,,23,16,4,,12,2,8,,1,10,55,,1547,1,,2,,,,1,1,,12,16,6,35,2,19,,19,,,7,7,28,35,27,1398,587
"Belize",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Benin",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Bermuda",,,,1,,2,,,,,,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,2,,,,10,
"Bolivia, Plurinational State of",,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,5,1
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,,
"Botswana",,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil",,3,3,1,,,,,,4,3,,1,4,,7,,,,1,,3,2,,2,,,,,,,5,2,,4,9,1,,1,,1,,8,1,1,,31,14
"British Indian Ocean Territory",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Brunei Darussalam",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,1,,,,,,,,2,
"Bulgaria",,9,21,17,374,5,,2,3,13,10,16,1,16,1,202,,79,3,8,,14,5,,22,7,,1,5,6,,68,1,2,31,5,21,,3,7,3,,42,9,14,9,462,82
"Burundi",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,
"Cabo Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Cambodia",,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,4,3
"Cameroon",,1,1,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Canada",,13,5,6,16,740,,,1,9,8,22,4,60,,52,,4,6,12,2,107,16,,10,6,,6,2,2,,25,7,5,36,13,16,,1,2,2,2,60,6,6,3,191,156
"Cayman Islands",,1,,,,1,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,1,,,,13,
"Chile",,3,1,1,,2,,,,1,2,2,,3,,6,,,2,2,,5,,,8,,,,,,,3,1,,3,1,,,,,,,28,,1,,18,7
"China",,5,,,1,3,7,,,,,1,,6,,12,,1,18,,,9,1,,2,1,,1,,,,,1,1,2,,1,,1,1,,,4,4,2,,36,11
"Colombia",,3,1,,,3,,,,,,1,,7,,2,,,2,,,1,,,2,1,,,,,,2,,,,,,,,,,,14,1,2,,25,17
"Congo",,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Cook Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Costa Rica",,,,,,,,,,,,,,3,,6,,,,,,2,,,,,,2,,,,,,,,,,,,,,,6,,,1,8,2
"Croatia",,3,4,2,,2,,23,,1,3,1,,,,4,,,,,,7,1,,1,,,,,1,,4,,,3,1,1,,,,,,1,,,,50,21
"Curaçao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,1
"Cyprus",,6,,,3,2,,,365,3,2,1,,3,1,4,1,5,3,6,,108,1,,,2,,2,,2,,3,1,,9,,8,,1,2,2,1,2,6,4,2,449,67
"Czech Republic",,17,13,9,16,16,,15,,998,16,77,3,30,,79,,8,1,30,,334,12,,15,10,,1,2,2,,28,35,17,57,9,41,,10,80,1,1,59,6,6,6,603,175
"Denmark",,65,16,18,36,16,2,3,3,12,669,101,9,52,1,152,,13,8,150,5,606,14,,39,20,,16,,3,,70,13,42,93,12,94,,8,13,3,3,107,85,17,16,687,379
"Dominica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Dominican Republic",,,,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,10,,,,4,6
"Ecuador",,3,,,,,,,,,1,,,2,,3,,,,,,2,,,1,,,,,,,,1,,,1,,,,,,,27,,,,12,2
"Egypt",,2,,2,,1,,,,,,2,,2,,8,,,,1,,7,1,,5,1,,,1,,,3,2,1,2,,1,,1,,,,2,1,,3,20,13
"El Salvador",,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,,,,4,1
"Eritrea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Estonia",,166,3,2,5,22,3,,1,18,86,857,8,5,16,23,,2,18,16,,143,1,,2,4,,1,1,,,7,10,66,55,1,5,,8,1,,6,6,112,44,24,2296,560
"Ethiopia",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
"Faroe Islands",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"Fiji",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Finland",,99,,,1,19,,,,4,7,11,221,2,,4,,1,5,30,,1225,2,,2,1,,,,,,,9,3,22,2,1,,19,,,,9,44,6,8,621,292
"France",,350,9,19,21,174,2,,2,40,31,14,7,5415,8,55,4,12,54,101,,1007,21,,31,5,,1,3,4,1,28,85,17,154,22,32,1,96,3,3,11,79,70,185,41,7149,1958
"French Guiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"French Polynesia",,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
"French Southern Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"Gabon",,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Gambia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Georgia",,1,4,1,,,,,,,,4,,4,44,18,,,,3,,30,,,15,2,,3,,1,,2,,,2,,,,,,,,2,1,2,1,8,18
"Germany",,882,19,9,36,177,4,5,,134,120,11,4,27,46,3110,1,7,47,596,,7363,3,,21,7,2,6,11,1,,26,205,59,584,6,53,,162,5,12,26,33,159,263,241,6616,3854
"Ghana",,,,,,2,,,,,,,,1,,2,,,,1,,8,,,,,,,,,,2,,,1,,,,,,,,1,,1,,13,10
"Gibraltar",,6,5,,4,1,,,2,4,4,2,,4,,18,2,,4,2,,17,17,,7,1,,,,3,,4,3,1,9,9,5,,2,1,2,,224,5,3,,13,23
"Greece",,10,1,1,10,4,1,,3,8,3,2,1,5,2,14,2,340,4,10,,21,2,,3,,,,2,,,14,2,1,12,1,6,,7,,,,4,12,18,2,849,125
"Greenland",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
"Grenada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Guadeloupe",,,,,,1,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,4,2
"Guatemala",,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,2
"Guernsey",,7,1,1,,4,,,1,2,1,1,,18,,2,,1,1,,,3,8,,2,18,,,,,,2,,1,6,8,2,,,2,,,13,1,1,,9,2
"Guyana",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haiti",,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holy See (Vatican City State)",,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Honduras",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,1,1
